date,symbol,rank,score,price,ret5,ret10,ret15,vol5
2026-08-19,MUTHOOTFIN,276,-3.2297,2894.1,-0.75,0.84,-3.99,1.2071
2026-08-19,EMMVEE,277,-3.2509,320.75,-0.94,0.38,-3.85,1.3591
2026-08-19,JWL,278,-3.2511,252.65,-1.85,-4.64,2.04,1.3682
2026-08-19,DMART,279,-3.2532,3995.0,-1.46,-0.5,-0.81,0.85
2026-08-19,ADANIPORTS,280,-3.2897,1691.0,0.59,-0.59,-4.48,1.3612
2026-08-19,HDFCLIFE,281,-3.402,538.25,0.42,0.43,-3.67,0.8289
2026-08-19,UTIAMC,282,-3.4143,894.6,-1.24,-1.59,-0.63,1.0131
2026-08-19,TITAGARH,283,-3.4517,820.95,-2.2,-4.44,0.59,1.7512
2026-08-19,USHAMART,284,-3.5393,498.05,-3.63,-1.19,-0.81,1.5893
2026-08-19,RAMCOCEM,285,-3.5827,922.6,-3.27,-2.4,0.31,1.4939
2026-08-19,TATACONSUM,286,-3.652,1061.6,-1.52,-2.78,-1.89,1.6976
2026-08-19,YESBANK,287,-3.6984,22.46,-1.27,-2.35,-1.53,1.3944
2026-08-19,HINDUNILVR,288,-3.7021,2035.0,-1.45,-2.93,0.61,1.0192
2026-08-19,CARTRADE,289,-3.7108,2796.9,1.26,-0.23,-6.1,1.3641
2026-08-19,PREMIERENE,290,-3.9255,1015.5,-2.74,-0.51,-2.35,1.4253
2026-08-19,SCHAEFFLER,291,-3.9591,4028.9,-0.84,-0.99,-3.74,1.4084
2026-08-19,ICICIPRULI,292,-4.0137,507.0,1.45,-2.94,-0.55,0.5075
2026-08-19,GABRIEL,293,-4.0347,1442.5,-1.86,-5.56,0.33,1.757
2026-08-19,NTPC,294,-4.0598,337.1,-0.4,-1.91,-1.93,1.0443
2026-08-19,SUNTV,295,-4.0702,482.8,-0.19,-3.89,-1.56,1.3851
2026-08-19,CCL,296,-4.0965,1132.1,0.76,0.9,-4.72,0.7481
2026-08-19,JIOFIN,297,-4.1232,245.8,-2.75,-7.25,3.68,1.5321
2026-08-19,LODHA,298,-4.1364,1211.1,-0.07,-1.52,-6.94,2.063
2026-08-19,LLOYDSME,299,-4.1415,1938.6,-2.4,-5.57,-2.05,2.4183
2026-08-19,RVNL,300,-4.2242,225.0,-2.17,-2.77,1.65,0.7779
2026-08-19,KARURVYSYA,301,-4.2318,334.0,0.85,-4.05,-1.66,1.1505
2026-08-19,GODREJPROP,302,-4.3441,1997.4,-1.99,-1.78,-6.52,2.367
2026-08-19,CGCL,303,-4.3466,225.54,-4.21,-1.37,-1.17,1.5553
2026-08-19,CUMMINSIND,304,-4.3831,5350.0,-0.53,-3.6,-1.93,1.3843
2026-08-19,KOTAKBANK,305,-4.5199,387.65,-1.34,-2.6,0.61,0.736
2026-08-19,ANGELONE,306,-4.5969,293.5,-0.44,-2.81,-3.52,1.4734
2026-08-19,GVT&D,307,-4.6301,4195.0,-5.09,-3.19,1.72,1.4164
2026-08-19,SAREGAMA,308,-4.7448,513.95,-2.86,-5.27,-1.96,2.1285
2026-08-19,SIGNATURE,309,-4.8028,800.95,-1.71,-2.13,0.08,0.7822
2026-08-19,MSUMI,310,-4.9214,40.32,-1.68,1.43,-2.89,0.6378
2026-08-19,VOLTAS,311,-5.0584,1252.9,-2.12,-5.63,-4.44,2.4099
2026-08-19,AIAENG,312,-5.0876,4447.6,-6.99,-3.88,-3.38,2.7986
2026-08-19,RHIM,313,-5.1388,380.0,-8.55,-6.94,-3.02,3.6043
2026-08-19,ATUL,314,-5.1469,6608.5,-3.53,-2.72,-0.62,1.3353
2026-08-19,FIVESTAR,315,-5.1817,535.35,-2.0,-1.73,-4.62,1.6103
2026-08-19,3MINDIA,316,-5.2081,34910.0,-2.76,-2.91,-0.81,1.243
2026-08-19,MARICO,317,-5.2684,852.05,-1.33,-3.28,-0.77,1.0203
2026-08-19,PHOENIXLTD,318,-5.2851,1929.8,-0.27,-1.29,-5.24,1.287
2026-08-19,CPPLUS,319,-5.4829,3342.0,-12.18,-4.49,-2.6,3.5149
2026-08-19,NEWGEN,320,-5.5508,528.45,-4.8,-5.86,0.57,1.8179
2026-08-19,TRIDENT,321,-5.6275,24.47,-1.45,-2.0,-1.25,0.8358
2026-08-19,SWIGGY,322,-5.771,274.0,-2.32,-5.84,2.06,1.0569
2026-08-19,NSLNISP,323,-5.9644,40.49,-8.29,-8.0,-3.71,3.3529
2026-08-19,IGL,324,-5.9815,149.39,-2.4,-2.95,-0.87,1.0403
2026-08-19,ICICIBANK,325,-5.9875,1412.0,-1.23,-2.93,-1.31,0.9142
2026-08-19,BHARATFORG,326,-6.1232,2093.0,-0.0,-5.34,-4.05,1.5335
2026-08-19,GODREJCP,327,-6.2091,931.0,-9.17,-12.02,-12.74,5.4644
2026-08-19,ITI,328,-6.3112,277.25,-3.06,-1.74,0.42,0.6939
2026-08-19,PRESTIGE,329,-6.3259,1591.9,0.18,-4.68,-3.2,1.217
